database;schema;table;column;data_type
core;curated;CLL_TREAT_CLEAN;Diag_date_CLLreg;date
core;curated;CLL_TREAT_CLEAN;Correct_diagdate;date
core;curated;CLL_TREAT_CLEAN;BIRTHDATE;date
core;curated;CLL_TREAT_CLEAN;opslagsdato;date
core;curated;CLL_TREAT_CLEAN;hospital;text
core;curated;CLL_TREAT_CLEAN;Date_death_CLL_reg;date
core;curated;CLL_TREAT_CLEAN;DATE_ENDFU_OR_DEATH_opslag_2021;date
core;curated;CLL_TREAT_CLEAN;Dead;integer
core;curated;CLL_TREAT_CLEAN;Excluded;integer
core;curated;CLL_TREAT_CLEAN;Note;text
core;curated;CLL_TREAT_CLEAN;IGHV;text
core;curated;CLL_TREAT_CLEAN;FISH_diag;text
core;curated;CLL_TREAT_CLEAN;Age_diagnosis;integer
core;curated;CLL_TREAT_CLEAN;Sex;text
core;curated;CLL_TREAT_CLEAN;Smoking;integer
core;curated;CLL_TREAT_CLEAN;Binet;text
core;curated;CLL_TREAT_CLEAN;CLLIPI;text
core;curated;CLL_TREAT_CLEAN;PS;integer
core;curated;CLL_TREAT_CLEAN;B2M;double precision
core;curated;CLL_TREAT_CLEAN;B2M_note;text
core;curated;CLL_TREAT_CLEAN;Total_number_of_treatments;integer
core;curated;CLL_TREAT_CLEAN;Date_treatment_CLL_reg;date
core;curated;CLL_TREAT_CLEAN;DATE1LINE;date
core;curated;CLL_TREAT_CLEAN;KEMO1;text
core;curated;CLL_TREAT_CLEAN;IMMTERAPI1;text
core;curated;CLL_TREAT_CLEAN;KEMOIMM1;text
core;curated;CLL_TREAT_CLEAN;Del17ptp53_1treatment;text
core;curated;CLL_TREAT_CLEAN;Protokol1;text
core;curated;CLL_TREAT_CLEAN;Indication1;text
core;curated;CLL_TREAT_CLEAN;Bivirkninger1;text
core;curated;CLL_TREAT_CLEAN;Date_last_treatment1;text
core;curated;CLL_TREAT_CLEAN;DATE2LINE;text
core;curated;CLL_TREAT_CLEAN;KEMO2;text
core;curated;CLL_TREAT_CLEAN;IMMTERAPI2;text
core;curated;CLL_TREAT_CLEAN;KEMOIMM2;text
core;curated;CLL_TREAT_CLEAN;Del17ptp53_2treatment;text
core;curated;CLL_TREAT_CLEAN;Protokol2;text
core;curated;CLL_TREAT_CLEAN;Indication2;text
core;curated;CLL_TREAT_CLEAN;Bivirkninger2;text
core;curated;CLL_TREAT_CLEAN;Date_last_treatment2;date
core;curated;CLL_TREAT_CLEAN;DATE3LINE;date
core;curated;CLL_TREAT_CLEAN;KEMO3;text
core;curated;CLL_TREAT_CLEAN;IMMTERAPI3;text
core;curated;CLL_TREAT_CLEAN;KEMOIMM3;text
core;curated;CLL_TREAT_CLEAN;Del17ptp53fÃ¸r3behandling;text
core;curated;CLL_TREAT_CLEAN;Protokol3;text
core;curated;CLL_TREAT_CLEAN;Indication3;text
core;curated;CLL_TREAT_CLEAN;Bivirkninger3;text
core;curated;CLL_TREAT_CLEAN;Date_last_treatment3;text
core;curated;CLL_TREAT_CLEAN;DATE4LINE;date
core;curated;CLL_TREAT_CLEAN;KEMO4;text
core;curated;CLL_TREAT_CLEAN;IMMTERAPI4;text
core;curated;CLL_TREAT_CLEAN;KEMOIMM4;text
core;curated;CLL_TREAT_CLEAN;Del17ptp53fÃ¸r4behandling;text
core;curated;CLL_TREAT_CLEAN;protokol4;text
core;curated;CLL_TREAT_CLEAN;Indication4;text
core;curated;CLL_TREAT_CLEAN;Bivirkninger4;text
core;curated;CLL_TREAT_CLEAN;Date_last_treatment4;text
core;curated;CLL_TREAT_CLEAN;DATE5LINE;date
core;curated;CLL_TREAT_CLEAN;KEMO5;text
core;curated;CLL_TREAT_CLEAN;IMMTERAPI5;text
core;curated;CLL_TREAT_CLEAN;KEMOIMM5;text
core;curated;CLL_TREAT_CLEAN;Del17ptp53fÃ¸r5behandling;text
core;curated;CLL_TREAT_CLEAN;protokol5;text
core;curated;CLL_TREAT_CLEAN;Indication5;text
core;curated;CLL_TREAT_CLEAN;Bivirkninger5;text
core;curated;CLL_TREAT_CLEAN;Date_llast_treatment5;text
core;curated;CLL_TREAT_CLEAN;DATE6LINE;date
core;curated;CLL_TREAT_CLEAN;KEMO6;text
core;curated;CLL_TREAT_CLEAN;IMMTERAPI6;text
core;curated;CLL_TREAT_CLEAN;KEMOIMM6;text
core;curated;CLL_TREAT_CLEAN;Del17ptp53fÃ¸r6behandling;text
core;curated;CLL_TREAT_CLEAN;protokol6;text
core;curated;CLL_TREAT_CLEAN;Indication6;text
core;curated;CLL_TREAT_CLEAN;Bivirkninger6;text
core;curated;CLL_TREAT_CLEAN;Date_last_treatment6;text
core;curated;CLL_TREAT_CLEAN;DATE7LINE;date
core;curated;CLL_TREAT_CLEAN;KEMO7;text
core;curated;CLL_TREAT_CLEAN;IMMUNTERAPI7;text
core;curated;CLL_TREAT_CLEAN;KEMOIMMUNTERAPI7;text
core;curated;CLL_TREAT_CLEAN;Del17ptp53fÃ¸r7behandling;text
core;curated;CLL_TREAT_CLEAN;protokol7;text
core;curated;CLL_TREAT_CLEAN;Indication7;text
core;curated;CLL_TREAT_CLEAN;Bivirkninger7;integer
core;curated;CLL_TREAT_CLEAN;Date_last_treatment7;date
core;curated;CLL_TREAT_CLEAN;DATE8LINE;integer
core;curated;CLL_TREAT_CLEAN;KEMO8;text
core;curated;CLL_TREAT_CLEAN;IMMUNTERAPI8;text
core;curated;CLL_TREAT_CLEAN;KEMOIMMUNTERAPI8;text
core;curated;CLL_TREAT_CLEAN;Del17ptp53fÃ¸r8behandling;text
core;curated;CLL_TREAT_CLEAN;protokol8;text
core;curated;CLL_TREAT_CLEAN;Indication8;text
core;curated;CLL_TREAT_CLEAN;Bivirkninger8;integer
core;curated;CLL_TREAT_CLEAN;Date_last_treatment8;boolean
core;curated;CLL_TREAT_CLEAN;DALYCA_ID;integer
core;curated;CLL_TREAT_CLEAN;patientid;bigint
core;curated;CLL_TREAT_IBRUTINIB;birth_date;date
core;curated;CLL_TREAT_IBRUTINIB;hospital;text
core;curated;CLL_TREAT_IBRUTINIB;cll-reg;text
core;curated;CLL_TREAT_IBRUTINIB;gender;integer
core;curated;CLL_TREAT_IBRUTINIB;alcohol;integer
core;curated;CLL_TREAT_IBRUTINIB;smoking;text
core;curated;CLL_TREAT_IBRUTINIB;cirs_prior_ib;integer
core;curated;CLL_TREAT_IBRUTINIB;date_diagnosis;date
core;curated;CLL_TREAT_IBRUTINIB;age_diagnosis;integer
core;curated;CLL_TREAT_IBRUTINIB;IGHV;text
core;curated;CLL_TREAT_IBRUTINIB;del13q;text
core;curated;CLL_TREAT_IBRUTINIB;tri12;text
core;curated;CLL_TREAT_IBRUTINIB;del11q;text
core;curated;CLL_TREAT_IBRUTINIB;del17p;text
core;curated;CLL_TREAT_IBRUTINIB;beta2m;text
core;curated;CLL_TREAT_IBRUTINIB;binet_diagnosis;text
core;curated;CLL_TREAT_IBRUTINIB;ps_diagnosis;text
core;curated;CLL_TREAT_IBRUTINIB;total_treatments;integer
core;curated;CLL_TREAT_IBRUTINIB;1_treatment_date;date
core;curated;CLL_TREAT_IBRUTINIB;1_treatment;text
core;curated;CLL_TREAT_IBRUTINIB;1_protocol;text
core;curated;CLL_TREAT_IBRUTINIB;2_treatment_date;date
core;curated;CLL_TREAT_IBRUTINIB;2_treatment;text
core;curated;CLL_TREAT_IBRUTINIB;2_protocol;text
core;curated;CLL_TREAT_IBRUTINIB;3_treatment_date;date
core;curated;CLL_TREAT_IBRUTINIB;3_treatment;text
core;curated;CLL_TREAT_IBRUTINIB;3_protocol;text
core;curated;CLL_TREAT_IBRUTINIB;4_treatment_date;date
core;curated;CLL_TREAT_IBRUTINIB;4_treatment;text
core;curated;CLL_TREAT_IBRUTINIB;4_protocol;text
core;curated;CLL_TREAT_IBRUTINIB;5_treatment_date;date
core;curated;CLL_TREAT_IBRUTINIB;5_treatment;text
core;curated;CLL_TREAT_IBRUTINIB;5_protocol;text
core;curated;CLL_TREAT_IBRUTINIB;6_treatment_date;date
core;curated;CLL_TREAT_IBRUTINIB;6_treatment;text
core;curated;CLL_TREAT_IBRUTINIB;6_protocol;text
core;curated;CLL_TREAT_IBRUTINIB;7_treatment_date;date
core;curated;CLL_TREAT_IBRUTINIB;7_treatment;text
core;curated;CLL_TREAT_IBRUTINIB;7_protocol;text
core;curated;CLL_TREAT_IBRUTINIB;8_treatment_date;date
core;curated;CLL_TREAT_IBRUTINIB;8_treatment;text
core;curated;CLL_TREAT_IBRUTINIB;8_protocol;text
core;curated;CLL_TREAT_IBRUTINIB;9_treatment_date;date
core;curated;CLL_TREAT_IBRUTINIB;9_treatment;text
core;curated;CLL_TREAT_IBRUTINIB;9_protocol;text
core;curated;CLL_TREAT_IBRUTINIB;ibrutinib_start;date
core;curated;CLL_TREAT_IBRUTINIB;time_since_last;text
core;curated;CLL_TREAT_IBRUTINIB;line_nr;integer
core;curated;CLL_TREAT_IBRUTINIB;first_line;integer
core;curated;CLL_TREAT_IBRUTINIB;ps_prior_ib;integer
core;curated;CLL_TREAT_IBRUTINIB;binet_prior_ib;text
core;curated;CLL_TREAT_IBRUTINIB;indication;text
core;curated;CLL_TREAT_IBRUTINIB;new_cyto_prior_ib;integer
core;curated;CLL_TREAT_IBRUTINIB;del17p_tp53_prior;integer
core;curated;CLL_TREAT_IBRUTINIB;tp53;integer
core;curated;CLL_TREAT_IBRUTINIB;del17p_ib;integer
core;curated;CLL_TREAT_IBRUTINIB;del13q_ib;integer
core;curated;CLL_TREAT_IBRUTINIB;tri12_ib;integer
core;curated;CLL_TREAT_IBRUTINIB;del11q_ib;integer
core;curated;CLL_TREAT_IBRUTINIB;ibrutinib_mono;integer
core;curated;CLL_TREAT_IBRUTINIB;ibrutinib_combination;integer
core;curated;CLL_TREAT_IBRUTINIB;protocol_ibrutinib;text
core;curated;CLL_TREAT_IBRUTINIB;start_dose_ibrutinib;integer
core;curated;CLL_TREAT_IBRUTINIB;dose_reduction;integer
core;curated;CLL_TREAT_IBRUTINIB;Dose_reduction comment;text
core;curated;CLL_TREAT_IBRUTINIB;pause;integer
core;curated;CLL_TREAT_IBRUTINIB;pause_duration;text
core;curated;CLL_TREAT_IBRUTINIB;pause_reason;text
core;curated;CLL_TREAT_IBRUTINIB;secondary_malignancy_under_ibrutinib;text
core;curated;CLL_TREAT_IBRUTINIB;secondary_malignancy_con;text
core;curated;CLL_TREAT_IBRUTINIB;otherchemo;text
core;curated;CLL_TREAT_IBRUTINIB;adverse_events;integer
core;curated;CLL_TREAT_IBRUTINIB;discontinuation;integer
core;curated;CLL_TREAT_IBRUTINIB;discontinuation_date;date
core;curated;CLL_TREAT_IBRUTINIB;discontinuation_reason;text
core;curated;CLL_TREAT_IBRUTINIB;discont_reason_cat;text
core;curated;CLL_TREAT_IBRUTINIB;discont_group;text
core;curated;CLL_TREAT_IBRUTINIB;treatment_following_discont;text
core;curated;CLL_TREAT_IBRUTINIB;atrialfibrillation;integer
core;curated;CLL_TREAT_IBRUTINIB;infection;integer
core;curated;CLL_TREAT_IBRUTINIB;progression;integer
core;curated;CLL_TREAT_IBRUTINIB;progression_date;date
core;curated;CLL_TREAT_IBRUTINIB;pr;date
core;curated;CLL_TREAT_IBRUTINIB;pr_l;date
core;curated;CLL_TREAT_IBRUTINIB;pri;date
core;curated;CLL_TREAT_IBRUTINIB;cr;date
core;curated;CLL_TREAT_IBRUTINIB;ccr;date
core;curated;CLL_TREAT_IBRUTINIB;ccr_lym;date
core;curated;CLL_TREAT_IBRUTINIB;stable_disease;integer
core;curated;CLL_TREAT_IBRUTINIB;dead;integer
core;curated;CLL_TREAT_IBRUTINIB;date_death;date
core;curated;CLL_TREAT_IBRUTINIB;end_of_follow_up_or_death;date
core;curated;CLL_TREAT_IBRUTINIB;opslags_dato;date
core;curated;CLL_TREAT_IBRUTINIB;end_of_ib_or_fu;date
core;curated;CLL_TREAT_IBRUTINIB;Pause_EFU;integer
core;curated;CLL_TREAT_IBRUTINIB;Pause_EFU_date;date
core;curated;CLL_TREAT_IBRUTINIB;max_pause;integer
core;curated;CLL_TREAT_IBRUTINIB;Notater;text
core;curated;CLL_TREAT_IBRUTINIB;...1;integer
core;curated;CLL_TREAT_IBRUTINIB;...101;text
core;curated;CLL_TREAT_IBRUTINIB;Note;text
core;curated;CLL_TREAT_IBRUTINIB;...97;boolean
